Version,Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result
v2_balanced,LITUSDT,15m,Continuation,Ranging,0.821,Bullish,Long,0.337,win
v2_balanced,THETAUSDT,15m,Continuation,Balanced,0.8937,Bullish,Long,-1.3137,loss
v2_balanced,FILUSDT,4h,Continuation,Trending,0.9296,Bullish,Long,1.4004,win
v2_balanced,TONUSDT,4h,Continuation,Trending,0.8926,Bullish,Long,1.8577,win
v2_balanced,TONUSDT,15m,Continuation,Ranging,0.824,Bullish,Long,-0.4991,loss
v2_balanced,YBUSDT,1h,Continuation,Trending,0.8763,Bullish,Long,1.5835,win
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.8541,Bullish,Long,5.7167,win
v2_balanced,GALAUSDT,24h,Continuation,Trending,0.9006,Bullish,Long,3.1933,win
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.8874,Bullish,Long,4.589,win
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.9131,Bullish,Long,-3.5403,loss
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.84,Bullish,Long,-3.3918,loss
v2_balanced,ETHUSDT,4h,Continuation,Balanced,0.8279,Bullish,Long,-1.646,loss
v2_balanced,ETHUSDT,24h,Continuation,Trending,0.8604,Bullish,Long,-2.2372,loss
v2_balanced,ETHUSDT,4h,Continuation,Balanced,0.8868,Bullish,Long,-0.688,loss
v2_balanced,PIEVERSEUSDT,15m,Continuation,Trending,0.8173,Bullish,Long,1.8468,win
v2_balanced,BUSDT,4h,Continuation,Trending,0.8794,Bullish,Long,3.2843,win
v2_balanced,PRLUSDT,15m,Continuation,Balanced,0.869,Bullish,Long,-1.354,loss
v2_balanced,PRLUSDT,15m,Continuation,Trending,0.8336,Bullish,Long,-6.09,loss
v2_balanced,PRLUSDT,15m,Continuation,Balanced,0.8223,Bullish,Long,-0.9346,loss
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.9041,Bullish,Long,-3.6455,loss
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.808,Bullish,Long,6.7498,win
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.8575,Bullish,Long,-4.6538,loss
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.9018,Bullish,Long,-4.6467,loss
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.8971,Bullish,Long,-4.0542,loss
v2_balanced,BNBUSDT,4h,Continuation,Balanced,0.8822,Bullish,Long,-1.3346,loss
v2_balanced,OPUSDT,4h,Continuation,Trending,0.8516,Bullish,Long,2.0042,win
v2_balanced,OPUSDT,4h,Continuation,Trending,0.8297,Bullish,Long,-3.5911,loss
v2_balanced,SPACEUSDT,4h,Continuation,Trending,0.8821,Bullish,Long,-6.3997,loss
v2_balanced,SPACEUSDT,1h,Continuation,Trending,0.8844,Bullish,Long,-5.3208,loss
v2_balanced,WCTUSDT,4h,Continuation,Trending,0.8341,Bullish,Long,1.4637,win
v2_balanced,WCTUSDT,1h,Continuation,Trending,0.9,Bullish,Long,1.9939,win
v2_balanced,INTCUSDT,4h,Continuation,Balanced,0.8884,Bullish,Long,-2.0852,loss
v2_balanced,FIGHTUSDT,4h,Continuation,Trending,0.8518,Bullish,Long,-7.6762,loss
