Strategy,EntryTimestamp,ExitTimestamp,Symbol,Timeframe,Setup,Regime,Volatility,Bias,Confidence,PnL_Pct,R_Multiple,Result,EMA30,EMA100,EntryPrice,FlowAlignment,VolumeZ15m,OIZ15m
v2_balanced_current,2026-04-22T01:56:24.652471+00:00,2026-04-22T06:59:29.837717+00:00,GIGGLEUSDT,1h,Continuation,Trending,Low,Bullish,0.8835,-0.9207,-0.2134,loss,35.611961,35.632082,37.328938,0.711,2.0279,1.1558
v2_balanced_current,2026-04-21T23:59:59.999000+00:00,2026-04-22T03:59:59.999000+00:00,OPENUSDT,4h,Continuation,Trending,High,Bullish,0.8718,2.2936,0.495,win,0.217328,0.217053,0.2269,0.8097,0.0,0.0
v2_balanced_current,2026-04-28T23:26:20.649056+00:00,2026-04-28T23:41:39.904205+00:00,OPENUSDT,15m,Continuation,Balanced,High,Bullish,0.8383,0.4947,0.495,win,0.259004,0.257954,0.2616,0.8241,1.2571,2.1049
v2_balanced_current,2026-04-18T07:58:07.062011+00:00,2026-04-18T11:57:34.579849+00:00,GMTUSDT,4h,Continuation,Trending,High,Bullish,0.8464,-3.0854,-1.0,loss,0.011756,0.011726,0.01208,0.7127,1.2402,1.0877
v2_balanced_current,2026-04-15T15:59:59.999000+00:00,2026-04-15T19:59:59.999000+00:00,OPUSDT,4h,Continuation,Trending,High,Bullish,0.8593,2.0042,0.495,win,0.11235,0.113329,0.1167,0.894,0.0,0.0
v2_balanced_current,2026-04-22T07:59:59.999000+00:00,2026-04-22T23:59:59.999000+00:00,OPUSDT,4h,Continuation,Trending,High,Bullish,0.8466,-3.5911,-1.0,loss,0.123897,0.120101,0.1268,0.8187,0.5786,1.9378
v2_balanced_current,2026-05-07T07:17:07.122725+00:00,2026-05-07T07:55:45.200714+00:00,OPUSDT,24h,Continuation,Trending,High,Bullish,0.8801,0.0,0.0,open,0.12897,0.132301,0.1453,0.8829,-1.1832,0.0
v2_balanced_current,2026-04-28T08:55:56.588794+00:00,2026-04-28T09:57:09.555167+00:00,ORCAUSDT,15m,Continuation,Balanced,Medium,Bullish,0.877,-0.1935,-0.0755,loss,1.502628,1.461874,1.55,0.9053,1.3733,0.5547
v2_balanced_current,2026-04-13T23:59:59.999000+00:00,2026-04-14T19:58:38.393843+00:00,VIRTUALUSDT,4h,Continuation,Trending,High,Bullish,0.8825,-4.4101,-1.0,loss,0.661493,0.64625,0.6992,0.971,0.0,0.0
v2_balanced_current,2026-04-16T15:59:03.950944+00:00,2026-04-16T19:59:21.500080+00:00,VIRTUALUSDT,4h,Continuation,Trending,High,Bullish,0.8725,1.555,0.495,win,0.681039,0.657848,0.721615,0.9306,0.3444,-0.3651
v2_balanced_current,2026-04-27T03:57:34.172163+00:00,2026-04-27T07:56:49.299071+00:00,VIRTUALUSDT,4h,Continuation,Trending,High,Bullish,0.8825,-2.591,-1.0,loss,0.703696,0.68562,0.7314,0.8672,-0.3202,-1.1268
v2_balanced_current,2026-04-17T13:59:59.999000+00:00,2026-04-17T17:59:59.999000+00:00,API3USDT,1h,Continuation,Balanced,High,Bullish,0.8703,-0.2874,-0.1448,loss,0.305616,0.304694,0.3131,0.9111,-0.5848,-2.1894
v2_balanced_current,2026-04-11T07:57:49.609646+00:00,2026-04-11T08:13:22.186339+00:00,VVVUSDT,15m,Continuation,Balanced,Low,Bullish,0.8241,0.4561,0.56,win,7.857352,7.710446,7.999921,0.701,-0.6745,0.332
v2_balanced_current,2026-04-26T07:59:59.999000+00:00,2026-04-27T07:56:49.299071+00:00,VVVUSDT,4h,Continuation,Trending,Low,Bullish,0.9041,2.163,0.56,win,8.858351,8.436637,9.373,0.8834,-0.6745,-0.0849
v2_balanced_current,2026-04-13T15:59:59.999000+00:00,2026-04-13T23:59:59.999000+00:00,APTUSDT,4h,Continuation,Trending,High,Bullish,0.8673,1.5148,0.495,win,0.836682,0.835139,0.8487,0.9286,0.0,0.0
v2_balanced_current,2026-04-08T18:24:56.293476+00:00,2026-04-08T19:41:34.503104+00:00,ARBUSDT,15m,Continuation,Ranging,High,Bearish,0.8496,0.2547,0.495,win,0.101203,0.100414,0.100648,0.8212,1.0335,-0.0075
