strategy,entry_time,exit_time,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,result,close_reason,r_multiple,allocated_r,pnl_pct,entry_price,stop_loss,target_price_1,target_price_2,confidence,flow_alignment,structure_strength,clarity_confidence,volume_z_15m,oi_delta_z_15m,market_pressure_4h,entry_type
v2_full_setup_ready_entry,2026-04-10T15:11:47.814939+00:00,2026-04-10T16:28:28.180968+00:00,ALGOUSDT,15m,Accumulation,Bullish,Ranging,High,loss,Invalidation,-1.0,-0.7625,-0.65636046,0.11244948,0.11171140607142858,0.11318755392857142,0.11392562785714284,0.8102,0.6125,1.0,0.8102,1.7956219591277423,-0.9193519401270225,-0.6089780996048939,Accumulation Watch
v2_full_setup_ready_entry,2026-04-10T20:59:14.892575+00:00,2026-04-11T01:55:22.278679+00:00,ALGOUSDT,1h,Accumulation,Bearish,Balanced,High,win,Target 2,1.5,0.62535,1.99399806,0.11162827,0.11311218035714286,0.11014435964285714,0.10866044928571428,0.6923,0.2669,0.85,0.6923,-0.3043033867710429,-0.33652430134876316,0.11721820603526138,Accumulation Watch
v2_full_setup_ready_entry,2026-04-11T12:59:43.411469+00:00,2026-04-11T14:11:07.992611+00:00,ALGOUSDT,15m,Accumulation,Bearish,Ranging,High,loss,Fail-Fast Exit,-0.82869456,-0.40929224,-0.35594152,0.10711872,0.10757881714285715,0.10665862285714285,0.1061985257142857,0.7954,0.3439,0.85,0.7954,-0.1654342833847383,-0.04127137004431783,-0.3155880699391093,Accumulation Watch
v2_full_setup_ready_entry,2026-04-11T20:44:34.176607+00:00,2026-04-11T22:11:33.714027+00:00,ALGOUSDT,15m,Accumulation,Bearish,Ranging,High,loss,Fail-Fast Exit,-0.70253019,-0.19691921,-0.40179095,0.10890987,0.10953274714285714,0.10828699285714287,0.10766411571428573,0.7125,0.4107,0.85,0.7125,1.6916971285431845,-2.624424734646112,0.41116204910168797,Accumulation Watch
v2_full_setup_ready_entry,2026-04-12T05:25:50.487086+00:00,2026-04-12T06:27:03.265509+00:00,ALGOUSDT,15m,Accumulation,Bullish,Ranging,High,loss,Invalidation,-1.0,-0.3909,-0.53215327,0.10630282,0.10573712607142857,0.10686851392857144,0.10743420785714287,0.6725,0.2409,0.85,0.6725,0.40435112410169405,-1.1694322384363864,-0.49331833173437467,Accumulation Watch
v2_full_setup_ready_entry,2026-04-12T11:28:39.482559+00:00,2026-04-12T11:59:28.422183+00:00,ALGOUSDT,15m,Accumulation,Bearish,Ranging,High,loss,Invalidation,-1.0,-0.7263,-0.26015907,0.1044,0.10467160607142857,0.10412839392857144,0.10385678785714288,0.7149,0.5763,1.0,0.7149,2.007993575840988,-1.1558913449274637,-0.1867414813348009,Accumulation Watch
v2_full_setup_ready_entry,2026-04-13T15:40:38.512957+00:00,2026-04-13T16:57:21.952368+00:00,ALGOUSDT,15m,Accumulation,Bearish,Balanced,High,win,Partial TP1,0.5,0.10505,0.43506424,0.1034,0.10429971285714286,0.10250028714285715,0.1016005742857143,0.6967,0.2702,0.85,0.6967,-0.00963362807593704,-0.5040437557955609,0.13448680647877273,Accumulation Watch
v2_full_setup_ready_entry,2026-04-18T04:43:33.263024+00:00,2026-04-18T05:56:01.813294+00:00,ALGOUSDT,15m,Accumulation,Bearish,Ranging,High,loss,Fail-Fast Exit,-0.49061196,-0.13251429,-0.25827561,0.1106686,0.11125119892857142,0.11008600107142859,0.10950340214285717,0.6235,0.3901,0.85,0.6235,0.9932738653376778,-1.3884791234481455,-0.14833459525986373,Accumulation Watch
v2_full_setup_ready_entry,2026-04-22T02:59:59.999000+00:00,2026-04-22T16:59:59.999000+00:00,ALGOUSDT,1h,Accumulation,Bullish,Balanced,High,win,Partial TP1,0.5,0.4076,0.86720033,0.1044,0.10258928571428572,0.1062107142857143,0.10802142857142859,0.8293,0.6652,0.85,0.8293,-0.7153718868318572,1.8460256906986214,0.3200567079787757,Accumulation Watch
v2_full_setup_ready_entry,2026-04-22T22:59:59.999000+00:00,2026-04-23T03:59:59.999000+00:00,ALGOUSDT,1h,Accumulation,Bearish,Balanced,High,win,Target 2,1.5,0.50475,1.79264237,0.1031,0.10433214285714285,0.10186785714285715,0.1006357142857143,0.6481,0.523,0.85,0.6481,-0.7153718868318572,1.8460256906986214,-0.0813170004838568,Accumulation Watch
